ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
111161,1,The Shawshank Redemption,The Shawshank Redemption (1994),1994,Frank Darabont ," Tim Robbins, Morgan Freeman",9.2,2307154,1.7237905062048506
68646,2,The Godfather,The Godfather (1972),1972,Francis Ford Coppola ," Marlon Brando, Al Pacino",9.1,1592287,1.189677504732412
71562,3,The Godfather: Part II,The Godfather: Part II (1974),1974,Francis Ford Coppola ," Al Pacino, Robert De Niro",9.0,1112398,0.8311283562004371
468569,4,The Dark Knight,The Dark Knight (2008),2008,Christopher Nolan ," Christian Bale, Heath Ledger",9.0,2270227,1.696200491831026
50083,5,12 Angry Men,12 Angry Men (1957),1957,Sidney Lumet ," Henry Fonda, Lee J. Cobb",8.9,678219,0.5067314419963936
108052,6,Schindler's List,Schindler's List (1993),1993,Steven Spielberg ," Liam Neeson, Ralph Fiennes",8.9,1196884,0.8942520855688378
167260,7,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King (2003),2003,Peter Jackson ," Elijah Wood, Viggo Mortensen",8.9,1620525,1.2107755312682271
110912,8,Pulp Fiction,Pulp Fiction (1994),1994,Quentin Tarantino ," John Travolta, Uma Thurman",8.8,1800619,1.3453327942096938
60196,9,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly (1966)",1966,Sergio Leone ," Clint Eastwood, Eli Wallach",8.8,679731,0.5078611330553268
120737,10,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring (2001),2001,Peter Jackson ," Elijah Wood, Ian McKellen",8.8,1636400,1.2226365402368535
137523,11,Fight Club,Fight Club (1999),1999,David Fincher ," Brad Pitt, Edward Norton",8.8,1828093,1.3658599980146726
109830,12,Forrest Gump,Forrest Gump (1994),1994,Robert Zemeckis ," Tom Hanks, Robin Wright",8.8,1778150,1.3285450770118314
1375666,13,Inception,Inception (2010),2010,Christopher Nolan ," Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2032277,1.518416108581601
167261,14,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers (2002),2002,Peter Jackson ," Elijah Wood, Ian McKellen",8.7,1464851,1.0944636755087356
80684,15,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back (1980),1980,Irvin Kershner ," Mark Hamill, Harrison Ford",8.7,1143401,0.8542922529597645
133093,16,The Matrix,The Matrix (1999),1999,Lana Wachowski ," Keanu Reeves, Laurence Fishburne",8.6,1651139,1.2336487866109374
99685,17,Goodfellas,Goodfellas (1990),1990,Martin Scorsese ," Robert De Niro, Ray Liotta",8.6,1004305,0.7503666527392894
73486,18,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest (1975),1975,Milos Forman ," Jack Nicholson, Louise Fletcher",8.6,905721,0.6767096002565773
47478,19,Seven Samurai,Seven Samurai (1954),1954,Akira Kurosawa ," Toshirô Mifune, Takashi Shimura",8.6,311712,0.2328956741813188
114369,20,Se7en,Se7en (1995),1995,David Fincher ," Morgan Freeman, Brad Pitt",8.6,1421314,1.0619349985029352
118799,21,Life Is Beautiful,Life Is Beautiful (1997),1997,Roberto Benigni ," Roberto Benigni, Nicoletta Braschi",8.6,613693,0.4585208300461839
317248,22,City of God,City of God (2002),2002,Fernando Meirelles ," Alexandre Rodrigues, Leandro Firmino",8.6,691875,0.5169345247350116
102926,23,The Silence of the Lambs,The Silence of the Lambs (1991),1991,Jonathan Demme ," Jodie Foster, Anthony Hopkins",8.6,1251270,0.9348865947825518
38650,24,It's a Wonderful Life,It's a Wonderful Life (1946),1946,Frank Capra ," James Stewart, Donna Reed",8.6,392306,0.29311149508320644
76759,25,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),1977,George Lucas ," Mark Hamill, Harrison Ford",8.6,1215195,0.9079331523546341
120815,26,Saving Private Ryan,Saving Private Ryan (1998),1998,Steven Spielberg ," Tom Hanks, Matt Damon",8.5,1217946,0.9099885624757484
245429,27,Spirited Away,Spirited Away (2001),2001,Hayao Miyazaki ," Daveigh Chase, Suzanne Pleshette",8.5,637732,0.4764815730129119
120689,28,The Green Mile,The Green Mile (1999),1999,Frank Darabont ," Tom Hanks, Michael Clarke Duncan",8.5,1128104,0.8428630967901218
816692,29,Interstellar,Interstellar (2014),2014,Christopher Nolan ," Matthew McConaughey, Anne Hathaway",8.5,1477912,1.1042222038954588
6751668,30,Parasite,Parasite (2019),2019,Bong Joon Ho ," Kang-ho Song, Sun-kyun Lee",8.5,507789,0.3793946383099069
110413,31,Léon: The Professional,Léon: The Professional (1994),1994,Luc Besson ," Jean Reno, Gary Oldman",8.5,1020016,0.7621051290798303
114814,32,The Usual Suspects,The Usual Suspects (1995),1995,Bryan Singer ," Kevin Spacey, Gabriel Byrne",8.5,979014,0.7314704777581538
56058,33,Harakiri,Harakiri (1962),1962,Masaki Kobayashi ," Tatsuya Nakadai, Akira Ishihama",8.5,39632,0.029611055587061216
110357,34,The Lion King,The Lion King (1994),1994,Roger Allers ," Matthew Broderick, Jeremy Irons",8.5,928093,0.6934248438878282
88763,35,Back to the Future,Back to the Future (1985),1985,Robert Zemeckis ," Michael J. Fox, Christopher Lloyd",8.5,1041337,0.7780351178810953
253474,36,The Pianist,The Pianist (2002),2002,Roman Polanski ," Adrien Brody, Thomas Kretschmann",8.5,717546,0.536114616781223
103064,37,Terminator 2: Judgment Day,Terminator 2: Judgment Day (1991),1991,James Cameron ," Arnold Schwarzenegger, Linda Hamilton",8.5,984338,0.7354483052698997
120586,38,American History X,American History X (1998),1998,Tony Kaye ," Edward Norton, Edward Furlong",8.5,1023468,0.7646842914709924
27977,39,Modern Times,Modern Times (1936),1936,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.5,214328,0.1601352019041092
54215,40,Psycho,Psycho (1960),1960,Alfred Hitchcock ," Anthony Perkins, Janet Leigh",8.5,595946,0.44526115595697374
172495,41,Gladiator,Gladiator (2000),2000,Ridley Scott ," Russell Crowe, Joaquin Phoenix",8.5,1322529,0.9881277688358016
21749,42,City Lights,City Lights (1931),1931,Charles Chaplin ," Charles Chaplin, Virginia Cherrill",8.5,165172,0.12340828808604348
407887,43,The Departed,The Departed (2006),2006,Martin Scorsese ," Leonardo DiCaprio, Matt Damon",8.5,1172628,0.876129211014948
1675434,44,The Intouchables,The Intouchables (2011),2011,Olivier Nakache ," François Cluzet, Omar Sy",8.5,746115,0.5574599500237228
2582802,45,Whiplash,Whiplash (2014),2014,Damien Chazelle ," Miles Teller, J.K. Simmons",8.5,702144,0.5246070098435989
482571,46,The Prestige,The Prestige (2006),2006,Christopher Nolan ," Christian Bale, Hugh Jackman",8.5,1170622,0.8746304277714164
95327,47,Grave of the Fireflies,Grave of the Fireflies (1988),1988,Isao Takahata ," Tsutomu Tatsumi, Ayano Shiraishi",8.5,230105,0.1719229901559528
8503618,48,Hamilton,Hamilton (2020),2020,Thomas Kail ," Lin-Manuel Miranda, Phillipa Soo",8.5,46684,0.03487995859473067
64116,49,Once Upon a Time in the West,Once Upon a Time in the West (1968),1968,Sergio Leone ," Henry Fonda, Charles Bronson",8.4,298966,0.22337249809854018
34583,50,Casablanca,Casablanca (1942),1942,Michael Curtiz ," Humphrey Bogart, Ingrid Bergman",8.4,515430,0.38510361276844374
95765,51,Cinema Paradiso,Cinema Paradiso (1988),1988,Giuseppe Tornatore ," Philippe Noiret, Enzo Cannavale",8.4,226543,0.16926164124595303
47396,52,Rear Window,Rear Window (1954),1954,Alfred Hitchcock ," James Stewart, Grace Kelly",8.4,437935,0.32720321024726623
78748,53,Alien,Alien (1979),1979,Ridley Scott ," Sigourney Weaver, Tom Skerritt",8.4,778004,0.5812858218347794
78788,54,Apocalypse Now,Apocalypse Now (1979),1979,Francis Ford Coppola ," Martin Sheen, Marlon Brando",8.4,598310,0.4470274189618136
209144,55,Memento,Memento (2000),2000,Christopher Nolan ," Guy Pearce, Carrie-Anne Moss",8.4,1111319,0.830322181165656
32553,56,The Great Dictator,The Great Dictator (1940),1940,Charles Chaplin ," Charles Chaplin, Paulette Goddard",8.4,200162,0.1495510725781527
82971,57,Raiders of the Lost Ark,Raiders of the Lost Ark (1981),1981,Steven Spielberg ," Harrison Ford, Karen Allen",8.4,873833,0.652884475595692
1853728,58,Django Unchained,Django Unchained (2012),2012,Quentin Tarantino ," Jamie Foxx, Christoph Waltz",8.4,1335272,0.9976487034680663
405094,59,The Lives of Others,The Lives of Others (2006),2006,Florian Henckel von Donnersmarck ," Ulrich Mühe, Martina Gedeck",8.4,353819,0.26435592644222883
7286456,60,Joker,Joker (2019),2019,Todd Phillips ," Joaquin Phoenix, Robert De Niro",8.4,895882,0.6693583897216284
50825,61,Paths of Glory,Paths of Glory (1957),1957,Stanley Kubrick ," Kirk Douglas, Ralph Meeker",8.4,175373,0.13102996698298566
910970,62,WALL·E,WALL·E (2008),2008,Andrew Stanton ," Ben Burtt, Elissa Knight",8.4,985369,0.7362186170964606
81505,63,The Shining,The Shining (1980),1980,Stanley Kubrick ," Jack Nicholson, Shelley Duvall",8.4,884536,0.6608812238786027
4154756,64,Avengers: Infinity War,Avengers: Infinity War (2018),2018,Anthony Russo ," Robert Downey Jr., Chris Hemsworth",8.4,812872,0.6073374540059958
43014,65,Sunset Blvd.,Sunset Blvd. (1950),1950,Billy Wilder ," William Holden, Gloria Swanson",8.4,198760,0.14850356803805734
51201,66,Witness for the Prosecution,Witness for the Prosecution (1957),1957,Billy Wilder ," Tyrone Power, Marlene Dietrich",8.4,106791,0.0797889139381776
4633694,67,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (2018),2018,Bob Persichetti ," Shameik Moore, Jake Johnson",8.4,352779,0.2635788902641267
364569,68,Oldboy,Oldboy (2003),2003,Chan-wook Park ," Min-sik Choi, Ji-Tae Yoo",8.4,507339,0.37905842073284346
119698,69,Princess Mononoke,Princess Mononoke (1997),1997,Hayao Miyazaki ," Yôji Matsuda, Yuriko Ishida",8.4,336582,0.25147729894035725
57012,70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,Stanley Kubrick ," Peter Sellers, George C. Scott",8.3,445403,0.3327829277261765
1345836,71,The Dark Knight Rises,The Dark Knight Rises (2012),2012,Christopher Nolan ," Christian Bale, Tom Hardy",8.3,1496884,1.1183971369444525
87843,72,Once Upon a Time in America,Once Upon a Time in America (1984),1984,Sergio Leone ," Robert De Niro, James Woods",8.3,306437,0.22895445702796421
90605,73,Aliens,Aliens (1986),1986,James Cameron ," Sigourney Weaver, Michael Biehn",8.3,645824,0.4825275121986835
5311514,74,Your Name.,Your Name. (2016),2016,Makoto Shinkai ," Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,186128,0.13906556707480144
4154796,75,Avengers: Endgame,Avengers: Endgame (2019),2019,Anthony Russo ," Robert Downey Jr., Chris Evans",8.3,780006,0.5827816164776259
2380307,76,Coco,Coco (2017),2017,Lee Unkrich ," Anthony Gonzalez, Gael García Bernal",8.3,364824,0.2725783140768576
169547,77,American Beauty,American Beauty (1999),1999,Sam Mendes ," Kevin Spacey, Annette Bening",8.3,1058233,0.79065896717457
112573,78,Braveheart,Braveheart (1995),1995,Mel Gibson ," Mel Gibson, Sophie Marceau",8.3,949322,0.7092860948733379
82096,79,Das Boot,Das Boot (1981),1981,Wolfgang Petersen ," Jürgen Prochnow, Herbert Grönemeyer",8.3,228991,0.17109066486517802
1187043,80,3 Idiots,3 Idiots (2009),2009,Rajkumar Hirani ," Aamir Khan, Madhavan",8.3,337737,0.25234025738815336
114709,81,Toy Story,Toy Story (1995),1995,John Lasseter ," Tom Hanks, Tim Allen",8.3,874642,0.6534889200842349
57565,82,High and Low,High and Low (1963),1963,Akira Kurosawa ," Toshirô Mifune, Yutaka Sada",8.3,32834,0.024531928722889788
8267604,83,Capernaum,Capernaum (2018),2018,Nadine Labaki ," Zain Al Rafeea, Yordanos Shiferaw",8.3,57912,0.04326896071754868
86879,84,Amadeus,Amadeus (1984),1984,Milos Forman ," F. Murray Abraham, Tom Hulce",8.3,364733,0.2725103234112737
361748,85,Inglourious Basterds,Inglourious Basterds (2009),2009,Quentin Tarantino ," Brad Pitt, Diane Kruger",8.3,1246081,0.9310096325439249
86190,86,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi (1983),1983,Richard Marquand ," Mark Hamill, Harrison Ford",8.3,937182,0.7002156917943381
986264,87,Taare Zameen Par - Ein Stern auf Erden,Taare Zameen Par - Ein Stern auf Erden (2007),2007,Aamir Khan ," Darsheel Safary, Aamir Khan",8.3,165050,0.12331713576515073
119217,88,Good Will Hunting,Good Will Hunting (1997),1997,Gus Van Sant ," Robin Williams, Matt Damon",8.3,848129,0.6336797275938293
105236,89,Reservoir Dogs,Reservoir Dogs (1992),1992,Quentin Tarantino ," Harvey Keitel, Tim Roth",8.3,906522,0.6773080675437503
62622,90,2001: A Space Odyssey,2001: A Space Odyssey (1968),1968,Stanley Kubrick ," Keir Dullea, Gary Lockwood",8.3,594978,0.4445379145912018
180093,91,Requiem for a Dream,Requiem for a Dream (2000),2000,Darren Aronofsky ," Ellen Burstyn, Jared Leto",8.3,756818,0.5654566983066335
52357,92,Vertigo,Vertigo (1958),1958,Alfred Hitchcock ," James Stewart, Kim Novak",8.3,358807,0.26808271149643403
22100,93,M,M (1931),1931,Fritz Lang ," Peter Lorre, Ellen Widmann",8.3,141387,0.1056373212628135
338013,94,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind (2004),2004,Michel Gondry ," Jim Carrey, Kate Winslet",8.3,900088,0.6725009033419146
2106476,95,The Hunt,The Hunt (2012),2012,Thomas Vinterberg ," Mads Mikkelsen, Thomas Bo Larsen",8.3,274414,0.20502846709395983
5074352,96,Dangal,Dangal (2016),2016,Nitesh Tiwari ," Aamir Khan, Sakshi Tanwar",8.3,151756,0.11338452138852598
33467,97,Citizen Kane,Citizen Kane (1941),1941,Orson Welles ," Orson Welles, Joseph Cotten",8.3,394097,0.2944496410399189
8579674,98,1917,1917 (2019),2019,Sam Mendes ," Dean-Charles Chapman, George MacKay",8.2,390042,0.2914199470954918
93058,99,Full Metal Jacket,Full Metal Jacket (1987),1987,Stanley Kubrick ," Matthew Modine, R. Lee Ermey",8.2,666176,0.49773351248400516
40522,100,Bicycle Thieves,Bicycle Thieves (1948),1948,Vittorio De Sica ," Lamberto Maggiorani, Enzo Staiola",8.2,143883,0.10750220809025862
12349,101,The Kid,The Kid (1921),1921,Charles Chaplin ," Charles Chaplin, Edna Purviance",8.2,111170,0.08306068453809032
45152,102,Singin' in the Rain,Singin' in the Rain (1952),1952,Stanley Donen ," Gene Kelly, Donald O'Connor",8.2,215741,0.16119092509608837
66921,103,A Clockwork Orange,A Clockwork Orange (1971),1971,Stanley Kubrick ," Malcolm McDowell, Patrick Magee",8.2,748459,0.5592112700251376
53125,104,North by Northwest,North by Northwest (1959),1959,Alfred Hitchcock ," Cary Grant, Eva Marie Saint",8.2,295360,0.22067827458100525
208092,105,Snatch,Snatch (2000),2000,Guy Ritchie ," Jason Statham, Brad Pitt",8.2,773225,0.5777151911663658
86250,106,Scarface,Scarface (1983),1983,Brian De Palma ," Al Pacino, Michelle Pfeiffer",8.2,730102,0.5454958343314638
75314,107,Taxi Driver,Taxi Driver (1976),1976,Martin Scorsese ," Robert De Niro, Jodie Foster",8.2,712967,0.5326934161470598
44741,108,Ikiru,Ikiru (1952),1952,Akira Kurosawa ," Takashi Shimura, Nobuo Kaneko",8.2,66950,0.0500217039653247
211915,109,Amélie,Amélie (2001),2001,Jean-Pierre Jeunet ," Audrey Tautou, Mathieu Kassovitz",8.2,696248,0.5202018124338968
56172,110,Lawrence of Arabia,Lawrence of Arabia (1962),1962,David Lean ," Peter O'Toole, Alec Guinness",8.2,264519,0.19763541614942082
435761,111,Toy Story 3,Toy Story 3 (2010),2010,Lee Unkrich ," Tom Hanks, Tim Allen",8.2,747473,0.558474579956283
70735,112,The Sting,The Sting (1973),1973,George Roy Hill ," Paul Newman, Robert Redford",8.2,238699,0.1783439987276929
17136,113,Metropolis,Metropolis (1927),1927,Fritz Lang ," Brigitte Helm, Alfred Abel",8.2,158068,0.11810053326946893
1832382,114,A Separation,A Separation (2011),2011,Asghar Farhadi ," Payman Maadi, Leila Hatami",8.2,216673,0.16188726905569528
1255953,115,Incendies,Incendies (2010),2010,Denis Villeneuve ," Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,145986,0.10907346490040166
91251,116,Come and See,Come and See (1985),1985,Elem Klimov ," Aleksey Kravchenko, Olga Mironova",8.2,56615,0.04229990694543477
59578,117,For a Few Dollars More,For a Few Dollars More (1965),1965,Sergio Leone ," Clint Eastwood, Lee Van Cleef",8.2,229407,0.1714014793364189
53604,118,The Apartment,The Apartment (1960),1960,Billy Wilder ," Jack Lemmon, Shirley MacLaine",8.2,161481,0.12065055680395217
36775,119,Double Indemnity,Double Indemnity (1944),1944,Billy Wilder ," Fred MacMurray, Barbara Stanwyck",8.2,141551,0.10575985389089883
56592,120,To Kill a Mockingbird,To Kill a Mockingbird (1962),1962,Robert Mulligan ," Gregory Peck, John Megna",8.2,291194,0.21756564696756928
1049413,121,Up,Up (2009),2009,Pete Docter ," Edward Asner, Jordan Nagai",8.2,921871,0.6887760755222979
97576,122,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade (1989),1989,Steven Spielberg ," Harrison Ford, Sean Connery",8.2,684014,0.5110611772387992
113277,123,Heat,Heat (1995),1995,Michael Mann ," Al Pacino, Robert De Niro",8.2,568736,0.4249311997972055
119488,124,L.A. Confidential,L.A. Confidential (1997),1997,Curtis Hanson ," Kevin Spacey, Russell Crowe",8.2,526194,0.3931459372118008
